StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,PID,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,ProtectYourself,AmazonHP,email_IRS,web_IRS,apple,amazon_Product,email_mcafee,GetProtected,Employment,TotalIncome,Race,Education,Age_1,Gender,RedCross,SSA_HP,mySSA,AmazonDeliveryDelay,FB_SSA,ssa_optout,replacementCard,WalmartProduct,Previous Fraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,surveyArm,PROLIFIC_PID
4/19/2022 20:53,4/19/2022 21:04,100,635,TRUE,4/19/2022 21:04,R_2R8njZexvYDl9d6,,,,,anonymous,EN,Yes,Edge,100.0.1185.36,Windows NT 10.0,1564x1043,5d7dd7dc3feec50001e8f9b9,Very little,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,,,,,,,,,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Associate degree,40,Female,Real,Real,Scam,Real,Real,Scam,Real,Real,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",arm1_control,5d7dd7dc3feec50001e8f9b9
4/19/2022 21:00,4/19/2022 21:09,100,550,TRUE,4/19/2022 21:09,R_1C2Dm2Hv5DLe4GY,,,,,anonymous,EN,Yes,Safari,15.3,Macintosh,1440x900,610d4495917435190c998bf3,Some,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Disagree,Strongly Disagree,Slightly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,A few times a year,Real,Real,Scam,Real,Scam,Scam,Real,Scam,"Employed, working 1-29 hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Some college but no degree,20,Female,Scam,Real,Scam,Real,Scam,Real,Real,Real,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",arm4_interactive,610d4495917435190c998bf3
4/19/2022 21:00,4/19/2022 21:11,100,687,TRUE,4/19/2022 21:11,R_3dN56cdrrejQ6C0,,,,,anonymous,EN,Yes,Chrome,100.0.4896.88,Windows NT 10.0,1536x864,6080c437c4d7109234489144,Very little,Angry,Never,Government should do more to solve problems.,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,A few times a year,Real,Real,Scam,Real,Real,Real,Real,Real,"Not employed, looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),Some high school,22,Female,Real,Real,Scam,Real,Scam,Real,Real,Real,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Often,Often,Often,"Yes, use the responses.",arm4_interactive,6080c437c4d7109234489144
4/19/2022 21:07,4/19/2022 21:23,100,950,TRUE,4/19/2022 21:23,R_3QKTHbMJgC5FD1S,,,,,anonymous,EN,Yes,Chrome,100.0.4896.88,Windows NT 10.0,1280x720,61119f53be6706f17801d4cf,Very little,Angry,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Once a month,,,,,,,,,"Disabled, not able to work","$0 - $19,999",White or Caucasian (Non-Hispanic),Bachelor degree,35,Female,Scam,Real,Scam,Real,Scam,Real,Real,Real,Someone claiming to be from the IRS (but wasn't),No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",arm2_generalinfo,61119f53be6706f17801d4cf
4/19/2022 21:07,4/19/2022 21:26,100,1189,TRUE,4/19/2022 21:26,R_1gHAmQxQs7mADlh,,,,,anonymous,EN,Yes,Firefox,99,Windows NT 10.0,1920x1080,5b37f1837bc6be00010c9657,Very little,Basically content,Only some of the time,Government is doing too many things better left to businesses and individuals.,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,A few times a week / Daily,,,,,,,,,"Not employed, looking for work","$0 - $19,999",Asian American or Asian,Some college but no degree,28,Male,Scam,Real,Scam,Real,Real,Scam,Real,Real,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Often,Some of the time,Often,"Yes, use the responses.",arm1_control,5b37f1837bc6be00010c9657
4/19/2022 21:18,4/19/2022 21:31,100,764,TRUE,4/19/2022 21:31,R_32RWQluF5w50eZB,,,,,anonymous,EN,Yes,Firefox,99,Windows NT 10.0,1600x900,5e669db9ef9fad4172c7c086,Very little,Frustrated,Most of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Agree,Strongly Disagree,Slightly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a week,,,,,,,,,"Employed, working 30 or more hours per week","$0 - $19,999","Hispanic,African American or African (Non-Hispanic)",Associate degree,27,Male,Scam,Real,Real,Scam,Real,Scam,Scam,Real,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,Yes,Often,Some of the time,Often,"Yes, use the responses.",arm3_tips,5e669db9ef9fad4172c7c086
4/19/2022 21:26,4/19/2022 21:33,100,419,TRUE,4/19/2022 21:33,R_ZqqkBEgHkt24SnT,,,,,anonymous,EN,Yes,Firefox,99,Windows NT 10.0,1536x864,5dec18ea1aaabf30d92ad722,Very little,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Slightly Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Once a month,,,,,,,,,"Not employed, looking for work","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Associate degree,24,Female,Scam,Real,Scam,Real,Scam,Real,Real,Real,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",arm1_control,5dec18ea1aaabf30d92ad722
4/19/2022 21:30,4/19/2022 21:36,100,338,TRUE,4/19/2022 21:36,R_2TzwxcwPy88cQQU,,,,,anonymous,EN,Yes,Chrome,100.0.4896.88,Macintosh,1440x900,614b97b5d57eef4b18e0b0c3,Very little,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,,Once a month,,,,,,,,,"Employed, working 1-29 hours per week","$60,000 - $79,999","White or Caucasian (Non-Hispanic),Asian American or Asian",Some college but no degree,23,Female,Real,Real,Scam,Real,Scam,Scam,Scam,Real,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Often,Often,Often,"Yes, use the responses.",arm2_generalinfo,614b97b5d57eef4b18e0b0c3
4/19/2022 21:23,4/19/2022 21:37,100,819,TRUE,4/19/2022 21:37,R_cZ08ALRt52jJqEx,,,,,anonymous,EN,Yes,Chrome,100.0.4896.127,Windows NT 10.0,1920x1080,590884b2ac756c0001ecb837,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,A few times a year,,,,,,,,,"Not employed, NOT looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",31,Female,Real,Real,Scam,Real,Scam,Real,Scam,Real,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Often,Often,"Yes, use the responses.",arm2_generalinfo,590884b2ac756c0001ecb837
4/19/2022 21:17,4/19/2022 21:38,100,1234,TRUE,4/19/2022 21:38,R_2tPZQcK3tDaVD8Z,,,,,anonymous,EN,Yes,Chrome,100.0.4896.127,Macintosh,1440x900,610087e4f59053804b98ea9e,Quite a lot,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,A few times a year,,,,,,,,,"Employed, working 1-29 hours per week","$60,000 - $79,999",Asian American or Asian,Bachelor degree,25,Female,Real,Real,Scam,Real,Scam,Real,Scam,Real,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't)",No,,Yes,No,Often,Often,Often,"Yes, use the responses.",arm1_control,610087e4f59053804b98ea9e
4/19/2022 21:33,4/19/2022 21:41,100,483,TRUE,4/19/2022 21:41,R_1IEgS9tYlTZI7DE,,,,,anonymous,EN,Yes,Chrome,100.0.4896.88,Windows NT 10.0,1366x768,5d2df0ea75dcce001a62aa2f,None at all,,,,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a week,,,,,,,,,"Employed, working 1-29 hours per week","$0 - $19,999",African American or African (Non-Hispanic),Associate degree,35,Female,Scam,Real,Scam,Real,Real,Scam,Real,Real,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",arm3_tips,5d2df0ea75dcce001a62aa2f
4/19/2022 21:14,4/19/2022 21:43,100,1730,TRUE,4/19/2022 21:43,R_0psb1a1iHWOYqCB,,,,,anonymous,EN,Yes,Chrome,100.0.4896.127,Windows NT 10.0,1920x1080,5c209d9b10677f0001da5e38,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Once a month,Real,Real,Scam,Real,Scam,Real,Real,Scam,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Associate degree,54,Female,Scam,Real,Scam,Real,Scam,Scam,Real,Real,Someone selling fraudulent goods or services,No,,No,No,Some of the time,Hardly ever,Some of the time,"Yes, use the responses.",arm4_interactive,5c209d9b10677f0001da5e38
