StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Previous Fraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,PID
7/4/2022 13:33,7/4/2022 13:34,IP Address,100,40,TRUE,7/4/2022 13:34,R_yUv2YhWEXKxcP4d,,,,,anonymous,EN,,,,,No,Often,Often,Often,"Yes, use the responses.",610b04d642aa28e6f7281bce
7/4/2022 13:44,7/4/2022 13:45,IP Address,100,71,TRUE,7/4/2022 13:45,R_ekBa1MPOiqNt0Bz,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,No,No,Often,Often,Often,"Yes, use the responses.",60ea3690567f68655f83d0b5
7/4/2022 13:45,7/4/2022 13:47,IP Address,100,90,TRUE,7/4/2022 13:47,R_ZmjKENYsyeVlKFP,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't)",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5f25c13cc7c8ea1ac7a0f863
7/4/2022 13:48,7/4/2022 13:49,IP Address,100,59,TRUE,7/4/2022 13:49,R_yQRtyPmn9hjCaA1,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Some of the time,Hardly ever,Hardly ever,"Yes, use the responses.",62b9e94484e7ffb27d90f991
7/4/2022 13:47,7/4/2022 13:49,IP Address,100,116,TRUE,7/4/2022 13:49,R_2BeUzJjYE22TWnG,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,No,No,Some of the time,Hardly ever,Hardly ever,"Yes, use the responses.",612d54b792c80674acfa9f27
7/4/2022 13:49,7/4/2022 13:50,IP Address,100,49,TRUE,7/4/2022 13:50,R_22l8mMUV8qQ0Hpm,,,,,anonymous,EN,Other,No,,No,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",6111a2f11add6761a59516db
7/4/2022 13:49,7/4/2022 13:50,IP Address,100,45,TRUE,7/4/2022 13:50,R_NVZCJYwl3BPAV7X,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",608ed2b926a5b59e8a0990e1
7/4/2022 13:52,7/4/2022 13:52,IP Address,100,46,TRUE,7/4/2022 13:52,R_11hDiCUihQ6nJWo,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Often,Some of the time,"Yes, use the responses.",6106cf67f5ceadad19438481
7/4/2022 13:55,7/4/2022 13:56,IP Address,100,38,TRUE,7/4/2022 13:56,R_1hSeqrb9lOslCYk,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone claiming to be from the company where you work (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",5aedb8ce49bb4c0001079640
7/4/2022 13:57,7/4/2022 13:57,IP Address,100,45,TRUE,7/4/2022 13:57,R_1nNkskMjsOPppde,,,,,anonymous,EN,"Someone claiming to be from the company where you work (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Often,Some of the time,"Yes, use the responses.",60fcae009d765669371b8c17
