,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,PID,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,surveyArm,PROLIFIC_PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,previousFraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,previousFraudYN,lose_moneyYN,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB
0,2022-07-04 13:29:00,7/4/2022 13:31,IP Address,100,170,True,7/4/2022 13:31,R_1QGgA0vRmpoaSzf,,,,,anonymous,EN,Yes,Chrome,103.0.0.0,Macintosh,1440x900,610b04d642aa28e6f7281bce ,Very little,Angry,Never,Government should do more to solve problems.,Slightly Agree,Disagree,Slightly Disagree,Slightly Agree,Disagree,Agree,Strongly Agree,Disagree,Slightly Agree,Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Once a month,arm2_generalinfo,610b04d642aa28e6f7281bce,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,1,True,False,False,1,,,,No Second Survey,False,,25,False
1,2022-07-04 13:30:00,7/4/2022 13:34,IP Address,100,263,True,7/4/2022 13:34,R_2CpJ9L8rg6UwLg9,,,,,anonymous,EN,Yes,Chrome,102.0.0.0,Android 12,393x786,62b9e94484e7ffb27d90f991,Some,Basically content,Most of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,arm4_interactive,62b9e94484e7ffb27d90f991,3,0,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Real,,,Real,,Details,Real,,Details,True,True,7/4/2022 13:38,7/4/2022 13:46,IP Address,100.0,500.0,True,7/4/2022 13:46,R_241rWeUU6Miudah,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999","White or Caucasian (Non-Hispanic),Hispanic",Some high school,30.0,Male,True,Scam,,Details,Real,,,Real,,,Real,,Details,Real,,,Scam,,Details,Scam,,,Real,,,True,True,7/4/2022 13:48,7/4/2022 13:49,IP Address,100.0,59.0,True,7/4/2022 13:49,R_yQRtyPmn9hjCaA1,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Some of the time,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,3,4.0,2.0,0.0,Keep,False,False,24,False
2,2022-07-04 13:36:00,7/4/2022 13:39,IP Address,100,179,True,7/4/2022 13:39,R_BK4Cz4MSpGxiFyx,,,,,anonymous,EN,Yes,Chrome,103.0.5060.66,Windows NT 10.0,1920x1080,60ea3690567f68655f83d0b5,Some,Angry,Only some of the time,Government should do more to solve problems.,Agree,Slightly Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Slightly Disagree,Disagree,Slightly Disagree,Strongly Agree,Slightly Disagree,A few times a week / Daily,arm1_control,60ea3690567f68655f83d0b5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/4/2022 13:39,7/4/2022 13:40,IP Address,100.0,45.0,True,7/4/2022 13:40,R_31yAESlQ4c2i5Mo,,,,,anonymous,EN,"Disabled, not able to work","$0 - $19,999",White or Caucasian (Non-Hispanic),Bachelor degree,38.0,Male,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,True,True,7/4/2022 13:44,7/4/2022 13:45,IP Address,100.0,71.0,True,7/4/2022 13:45,R_ekBa1MPOiqNt0Bz,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,No,No,Often,Often,Often,"Yes, use the responses.",True,1,True,True,False,2,3.0,3.0,0.0,Keep,False,False,24,False
5,2022-07-04 13:40:00,7/4/2022 13:44,IP Address,100,247,True,7/4/2022 13:44,R_9H3ziOX0qt1Y1H3,,,,,anonymous,EN,Yes,Chrome,103.0.0.0,Macintosh,1440x900,612d54b792c80674acfa9f27,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Strongly Agree,,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Once a month,arm3_tips,612d54b792c80674acfa9f27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/4/2022 13:44,7/4/2022 13:45,IP Address,100.0,50.0,True,7/4/2022 13:45,R_2y7Sfqn4cyXzCAQ,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,47.0,Male,True,Real,,,Scam,,,Scam,,,Real,,,Scam,,,Real,,,Real,,,Real,,,True,True,7/4/2022 13:47,7/4/2022 13:49,IP Address,100.0,116.0,True,7/4/2022 13:49,R_2BeUzJjYE22TWnG,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,No,No,Some of the time,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,3,3.0,4.0,0.0,Keep,False,False,24,False
4,2022-07-04 13:41:00,7/4/2022 13:44,IP Address,100,184,True,7/4/2022 13:44,R_2rATqiQScJRfzYc,,,,,anonymous,EN,Yes,Chrome,103.0.0.0,Macintosh,1440x900,608ed2b926a5b59e8a0990e1,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Agree,A few times a year,arm4_interactive,608ed2b926a5b59e8a0990e1,3,1,Real,,,Real,,,Scam,,Details,Real,,,Real,,,Scam,Click,,Real,,Details,Real,,Details,True,True,7/4/2022 13:47,7/4/2022 13:48,IP Address,100.0,52.0,True,7/4/2022 13:48,R_1dGGpEtYzE9Syzp,,,,,anonymous,EN,"Not employed, looking for work","$20,000 - $39,999",Hispanic,Bachelor degree,23.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,Click,Details,Real,,,Scam,,Details,Real,,,Real,,,True,True,7/4/2022 13:49,7/4/2022 13:50,IP Address,100.0,45.0,True,7/4/2022 13:50,R_NVZCJYwl3BPAV7X,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,3.0,0.0,0.0,Keep,False,False,24,False
3,2022-07-04 13:42:00,7/4/2022 13:43,IP Address,100,83,True,7/4/2022 13:43,R_3j062Jr9rs2QySp,,,,,anonymous,EN,Yes,Chrome,103.0.0.0,Windows NT 6.3,1536x864,5f25c13cc7c8ea1ac7a0f863,Some,Basically content,Most of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Agree,Slightly Agree,Once a week,arm3_tips,5f25c13cc7c8ea1ac7a0f863,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/4/2022 13:43,7/4/2022 13:44,IP Address,100.0,34.0,True,7/4/2022 13:44,R_AzKjzEUjHT45LX3,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,30.0,Male,True,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Real,,,True,True,7/4/2022 13:45,7/4/2022 13:47,IP Address,100.0,90.0,True,7/4/2022 13:47,R_ZmjKENYsyeVlKFP,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't)",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,0,1.0,4.0,0.0,Too Fast,False,,24,False
6,2022-07-04 13:44:00,7/4/2022 13:47,IP Address,100,127,True,7/4/2022 13:47,R_2YVWWqQmszDZQqR,,,,,anonymous,EN,Yes,Chrome,102.0.0.0,Macintosh,1440x900,6111a2f11add6761a59516db,Very little,Angry,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Slightly Agree,Disagree,Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Disagree,Once a month,arm2_generalinfo,6111a2f11add6761a59516db,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/4/2022 13:47,7/4/2022 13:47,IP Address,100.0,32.0,True,7/4/2022 13:47,R_voalPwoRL8sZ8pX,,,,,anonymous,EN,"Not employed, looking for work","$150,000 or more",White or Caucasian (Non-Hispanic),Bachelor degree,24.0,Female,True,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,True,True,7/4/2022 13:49,7/4/2022 13:50,IP Address,100.0,49.0,True,7/4/2022 13:50,R_22l8mMUV8qQ0Hpm,,,,,anonymous,EN,Other,No,,No,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,0,1.0,2.0,0.0,Keep,False,False,24,False
7,2022-07-04 13:44:00,7/4/2022 13:48,IP Address,100,229,True,7/4/2022 13:48,R_5uMXrOQEBPxbF17,,,,,anonymous,EN,Yes,Chrome,103.0.5060.53,Windows NT 10.0,1536x864,6106cf67f5ceadad19438481,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Disagree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,arm1_control,6106cf67f5ceadad19438481,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/4/2022 13:48,7/4/2022 13:49,IP Address,100.0,30.0,True,7/4/2022 13:49,R_3fwxuS3WI4vojXX,,,,,anonymous,EN,"Not employed, looking for work","$150,000 or more",White or Caucasian (Non-Hispanic),Some college but no degree,19.0,Female,True,Real,,Details,Real,,,Scam,,,Real,,Details,Real,,,Real,,Details,Real,,,Real,,,True,True,7/4/2022 13:52,7/4/2022 13:52,IP Address,100.0,46.0,True,7/4/2022 13:52,R_11hDiCUihQ6nJWo,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Often,Some of the time,"Yes, use the responses.",True,1,True,True,False,3,1.0,1.0,0.0,Keep,False,False,24,False
8,2022-07-04 13:48:00,7/4/2022 13:51,IP Address,100,165,True,7/4/2022 13:51,R_1EiY5HpolWfrjvn,,,,,anonymous,EN,Yes,Chrome,102.0.0.0,Macintosh,1440x900,60fcae009d765669371b8c17,Very little,Angry,Never,Government should do more to solve problems.,Slightly Agree,Disagree,Disagree,Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Disagree,Disagree,Slightly Disagree,Slightly Disagree,Disagree,Disagree,Disagree,Slightly Disagree,Once a month,arm4_interactive,60fcae009d765669371b8c17,4,0,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Real,,,Real,,Details,Scam,,Details,True,True,7/4/2022 13:54,7/4/2022 13:54,IP Address,100.0,28.0,True,7/4/2022 13:54,R_3rJ1cY8egpEENjB,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Some college but no degree,20.0,Male,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,Details,Real,,,True,True,7/4/2022 13:57,7/4/2022 13:57,IP Address,100.0,45.0,True,7/4/2022 13:57,R_1nNkskMjsOPppde,,,,,anonymous,EN,"Someone claiming to be from the company where you work (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Often,Some of the time,"Yes, use the responses.",True,1,True,True,False,1,0.0,0.0,0.0,Keep,False,False,24,False
10,2022-07-04 13:48:00,7/4/2022 13:53,IP Address,100,269,True,7/4/2022 13:53,R_9YrV0Cwt1DKVWDL,,,,,anonymous,EN,Yes,Chrome,103.0.0.0,Windows NT 10.0,1600x900,5f4da0c092c4bb080b6c0ebb,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Agree,Agree,Agree,Slightly Agree,Strongly Agree,Neither Agree nor Disagree,Once a month,arm1_control,5f4da0c092c4bb080b6c0ebb,4,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/4/2022 13:53,7/4/2022 13:54,IP Address,100.0,69.0,True,7/4/2022 13:54,R_1IEJjtVHXmucSsI,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",67.0,Female,True,Real,,Details,Real,,,Scam,,,Real,,Details,Real,Click,,Real,,Details,Real,,Details,Real,,,True,True,7/4/2022 14:00,7/4/2022 14:01,IP Address,100.0,72.0,True,7/4/2022 14:01,R_1IN98o6DN7mdsWl,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,No,Hardly ever,Some of the time,Hardly ever,"Yes, use the responses.",True,1,True,True,False,4,4.0,3.0,0.0,Keep,False,False,24,False
