,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,previousFraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,previousFraudYN,lose_moneyYN,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB
2,2022-07-26 09:38:00,7/26/2022 9:45,IP Address,100,434,True,7/26/2022 9:45,R_1gkzoXYRcKlJ3dM,,,,,anonymous,EN,,Yes,,Opera,88.0.4412.85,Windows NT 10.0,1536x864,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Neither Agree nor Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Agree,Slightly Agree,,Agree,Agree,Slightly Agree,Agree,Slightly Agree,Agree,Agree,Once a month,,arm4_interactive,6294b970cd20966a523f54f2,6294b970cd20966a523f54f2,4,0,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Scam,,,Real,,Details,Scam,,Details,True,True,7/26/2022 9:49,7/26/2022 9:50,IP Address,100.0,36.0,True,7/26/2022 9:50,R_rrmVwjw7Lsb0EH7,,,,,anonymous,EN,"Not employed, looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",21.0,Male,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Real,,,Real,,Details,Scam,,,True,True,7/26/2022 9:53,7/26/2022 9:55,IP Address,100.0,102.0,True,7/26/2022 9:55,R_1nTKe4lGyP9Hvk3,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,4,1.0,4.0,0.0,Keep,False,False,24,False
0,2022-07-26 09:39:00,7/26/2022 9:42,IP Address,100,213,True,7/26/2022 9:42,R_1GvGx4IChv7MnU8,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,375x667,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Disagree,Slightly Agree,Strongly Agree,Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Once a week,,arm4_interactive,610387c028e578a1677cbfde,610387c028e578a1677cbfde,4,0,Scam,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,Details,Real,,,True,True,7/26/2022 9:46,7/26/2022 9:47,IP Address,100.0,28.0,True,7/26/2022 9:47,R_3DnK8pYN8K8u1ew,,,,,anonymous,EN,"Not employed, looking for work","$20,000 - $39,999",Hispanic,Bachelor degree,,Male,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Real,,Details,,,,True,False,7/26/2022 9:49,7/26/2022 9:51,IP Address,100.0,92.0,True,7/26/2022 9:51,R_24NHNoOp7ZEcx2V,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone claiming to be from the company where you work (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,2,0.0,3.0,0.0,Test Results are Incomplete,False,,24,False
1,2022-07-26 09:39:00,7/26/2022 9:43,IP Address,100,233,True,7/26/2022 9:43,R_SGVOI1H2FzoYoQ9,,,,,anonymous,EN,,Yes,,Firefox,102,Windows NT 10.0,1536x864,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Once a week,,arm1_control,6158bd2745993bf25a54a521,6158bd2745993bf25a54a521,4,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 9:43,7/26/2022 9:44,IP Address,100.0,69.0,True,7/26/2022 9:44,R_1HotxaBOkLUaUkP,,,,,anonymous,EN,Retired,"$20,000 - $39,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,67.0,Male,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Real,,,Scam,,,Real,,Details,,,,True,False,7/26/2022 9:52,7/26/2022 9:53,IP Address,100.0,83.0,True,7/26/2022 9:53,R_3LYA1gW1nrDbNYN,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,Yes,Some of the time,Often,Often,"Yes, use the responses.",True,1,True,True,False,2,4.0,3.0,0.0,Test Results are Incomplete,False,,24,False
3,2022-07-26 09:48:00,7/26/2022 9:52,IP Address,100,237,True,7/26/2022 9:52,R_e5KFeCaLnTwSFtD,,,,,anonymous,EN,,Yes,,Firefox,102,Windows NT 10.0,1920x1080,Very little,Frustrated,Never,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a month,,arm1_control,612fcbbd5386d9edb42da147,612fcbbd5386d9edb42da147,4,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 9:52,7/26/2022 9:53,IP Address,100.0,61.0,True,7/26/2022 9:53,R_1cS8HlEwmyAUfmc,,,,,anonymous,EN,"Not employed, NOT looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),Some high school,33.0,Male,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Real,,Details,Real,,,Real,,,Real,,Details,,,,True,False,7/26/2022 10:01,7/26/2022 10:03,IP Address,100.0,99.0,True,7/26/2022 10:03,R_AbAU6mbsW0SoaGd,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Other",No,,No,No,Often,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,3.0,4.0,0.0,Test Results are Incomplete,False,,24,False
4,2022-07-26 09:48:00,7/26/2022 9:53,IP Address,100,291,True,7/26/2022 9:53,R_blyKFS0yAw2TAqZ,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,Agree,Strongly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a week,,arm4_interactive,5edfa664aa67fe278e36ff39,5edfa664aa67fe278e36ff39,4,0,Real,,,Real,,,Scam,,Details,Real,,,Real,,,Scam,,,Real,,Details,Scam,,Details,True,True,7/26/2022 9:56,7/26/2022 9:56,IP Address,100.0,32.0,True,7/26/2022 9:56,R_1rlkAlPxQluO9ET,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",Asian American or Asian,Some college but no degree,24.0,Male,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Real,,,Real,,Details,Scam,,,True,True,7/26/2022 10:00,7/26/2022 10:01,IP Address,100.0,47.0,True,7/26/2022 10:01,R_Q6z2BZje5UDqhKV,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,3,1.0,1.0,0.0,Keep,False,False,24,False
5,2022-07-26 09:52:00,7/26/2022 9:55,IP Address,100,185,True,7/26/2022 9:55,R_2E5bjKhxS6Ppo6P,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 11,377x816,Some,Frustrated,Most of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Once a week,,arm4_interactive,5a044fbc074b190001251565,5a044fbc074b190001251565,4,1,Real,,,Real,Click,,Scam,,,Real,,,Real,,,Real,,,Real,,Details,Real,,,True,True,7/26/2022 9:59,7/26/2022 10:00,IP Address,100.0,53.0,True,7/26/2022 10:00,R_22lwZgIMXf4uwpi,,,,,anonymous,EN,"Not employed, NOT looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Some college but no degree,44.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,Click,,Scam,,Details,Scam,,,Scam,,,Real,,Details,Scam,,,True,True,7/26/2022 10:06,7/26/2022 10:06,IP Address,100.0,53.0,True,7/26/2022 10:06,R_RJPdE8IHnSiYLx7,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,Yes,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,1,3.0,1.0,0.0,Keep,False,False,24,False
6,2022-07-26 09:53:00,7/26/2022 9:57,IP Address,100,182,True,7/26/2022 9:57,R_1eODqrHCSawzJrU,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1536x864,Very little,Angry,Never,Government should do more to solve problems.,Slightly Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,,arm1_control,5c83394a3e93bf0001e143d6,5c83394a3e93bf0001e143d6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 9:57,7/26/2022 9:57,IP Address,100.0,27.0,True,7/26/2022 9:57,R_1IAiBd5vGRWBC45,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$100,000 - $149,999",Asian American or Asian,Bachelor degree,24.0,Female,True,Real,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,7/26/2022 10:00,7/26/2022 10:01,IP Address,100.0,46.0,True,7/26/2022 10:01,R_1Fy4IxzbwODMVV7,,,,,anonymous,EN,,,,,No,Often,Hardly ever,Often,"Yes, use the responses.",True,1,True,False,False,1,0.0,1.0,0.0,Keep,False,False,24,False
7,2022-07-26 09:56:00,7/26/2022 10:00,IP Address,100,264,True,7/26/2022 10:00,R_Pz9SqAN75M6PGKJ,,,,,anonymous,EN,,Yes,,Firefox,102,Windows NT 10.0,1920x1080,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a month,,arm4_interactive,567064cdb937e4000f2ce44f,567064cdb937e4000f2ce44f,4,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,,Real,,,True,True,7/26/2022 10:03,7/26/2022 10:03,IP Address,100.0,40.0,True,7/26/2022 10:03,R_qL5FsgMpvZlCRRn,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$60,000 - $79,999",Asian American or Asian,Some college but no degree,25.0,Male,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,,,,True,False,7/26/2022 10:06,7/26/2022 10:07,IP Address,100.0,57.0,True,7/26/2022 10:07,R_bNPbD3SQrlYsOIh,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Often,Often,Often,"Yes, use the responses.",True,1,True,True,False,3,2.0,2.0,0.0,Test Results are Incomplete,False,,24,False
9,2022-07-26 09:59:00,7/26/2022 10:02,IP Address,100,222,True,7/26/2022 10:02,R_2afwTnQaSASsPbZ,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Disagree,Disagree,Slightly Disagree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Disagree,Disagree,Slightly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly Disagree,Disagree,Disagree,A few times a year,,arm1_control,5fb4838f3efce01cc28e7f1b,5fb4838f3efce01cc28e7f1b,0,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:02,7/26/2022 10:03,IP Address,100.0,45.0,True,7/26/2022 10:03,R_BYE3YCXW7n0TNHH,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$40,000 - $59,999",African American or African (Non-Hispanic),Some college but no degree,56.0,Male,True,Real,,,Real,,,Real,,,Real,Click,,Scam,,,Real,,,Real,,,Real,,,Real,,,Scam,,,True,True,7/26/2022 10:06,7/26/2022 10:07,IP Address,100.0,64.0,True,7/26/2022 10:07,R_6x1YSqKZd8bpXgd,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,2.0,2.0,0.0,Keep,False,False,24,False
8,2022-07-26 10:00:00,7/26/2022 10:02,IP Address,100,118,True,7/26/2022 10:02,R_R82GPqNXbQ3iDex,,,,,anonymous,EN,,Yes,,Chrome iPhone,103.0.5060.63,iPhone,414x896,None at all,Angry,Never,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Disagree,Slightly Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,,arm1_control,613cf84d6df477f261fa5ec4,613cf84d6df477f261fa5ec4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:02,7/26/2022 10:02,IP Address,100.0,39.0,True,7/26/2022 10:02,R_1WVKvmDocSAZgM9,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,31.0,Male,True,Real,,Details,Real,,,Real,Click,,Real,,Details,Real,,,Real,,Details,Real,,,Real,,,Real,,Details,Scam,,,True,True,7/26/2022 10:05,7/26/2022 10:06,IP Address,100.0,41.0,True,7/26/2022 10:06,R_2ZNzxbqcDuhHI8K,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,0,2.0,0.0,0.0,Too Fast,False,,24,False
