,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,GovtConf1_Future,GovtConf2_Feel,GovtConf3_Trust,GovtConf4_Views,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,previousFraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB,incomeAmount,race5,employment3,educYears,ageYears,genderI,ageYearsSq,lIncomeAmount,fraudExperience_SSA,fraudExperience_Govt,fraudExperience_Biz,fraudExperience_YN,fraudLoss_YN,fraudLoss_Amount,reportFraud_YN,GovtConfScore,TrustInSSAScore,TrustInInternetScore,OnlineShoppingScore,LonelyScore,numCorrect,numFakeLabeledReal,numRealLabeledFake,numRealLabeledReal,numFakeLabeledFake,numEmailsCorrect,numWebsitesCorrect,numLettersCorrect,numSMSesCorrect,numCorrect_Govt,numCorrect_Biz,numEmailsCorrect_Govt,numEmailsCorrect_Biz,numWebsitesCorrect_Govt,numWebsitesCorrect_Biz,numLabeledReal,numLabeledFake,numNoAnswer,Correct_WalmartProduct,Correct_RedCross,Correct_SSA_HP,Correct_mySSA,Correct_AmazonDeliveryDelay,Correct_FB_SSA,Correct_ssa_optout,Correct_replacementCard,Correct_medicareReview,Correct_benefitsSuspension,droppedFinalQuestion,percentCorrect,percentCorrect_Email,percentCorrect_Web,percentCorrect_Letter,percentCorrect_Govt,percentCorrect_Biz,percentCorrect_IsScam,percentCorrect_IsReal,percentIncorrect_ActuallyScam,percentIncorrect_ActuallyReal,RevealedTrust
2697,2022-08-03 06:26:00,8/3/2022 6:28,IP Address,100,135,True,8/3/2022 6:28,R_2VlQFD37G0NBUUK,,,,,anonymous,EN,Yes,,,Chrome iPhone,103.0.5060.63,iPhone,375x812,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Agree,Slightly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Once a week,B319663,arm2_generalinfo,,B319663,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/3/2022 6:28,8/3/2022 6:29,IP Address,100.0,27.0,True,8/3/2022 6:29,R_2xDi25CGOq3vXTi,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Graduate or professional degree,35.0,Female,True,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,,,,True,False,8/3/2022 6:32,8/3/2022 6:32,IP Address,100.0,36.0,True,8/3/2022 6:32,R_yKoilRn2hxGnMrL,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,Yes,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,1,0.0,0.0,0.0,Keep,False,False,7,True,175.0,W,E,18.0,35.0,1.0,1225.0,5.1647859739235145,False,False,True,True,False,0.0,1.0,0.625,4.9,3.25,5.0,1.0,4,4,1,4,0,2,2,0,0,2,2,1,1,1,1,8,1,1,True,False,True,False,True,False,False,True,False,False,True,40.0,50.0,50.0,0.0,33.33333333333333,50.0,0.0,80.0,80.0,20.0,80.0
2705,2022-08-03 06:54:00,8/3/2022 7:02,IP Address,100,456,True,8/3/2022 7:02,R_1gkmg5bqfugraoQ,,,,,anonymous,EN,Yes,,,Safari iPhone,15.6,iPhone,375x812,Quite a lot,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Strongly Disagree,Strongly Disagree,Agree,Slightly Agree,Strongly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Once a month,B337874,arm3_tips,,B337874,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/3/2022 7:02,8/3/2022 7:03,IP Address,100.0,100.0,True,8/3/2022 7:03,R_PU3BhpdSvVnfKBX,,,,,anonymous,EN,Retired,,White or Caucasian (Non-Hispanic),Graduate or professional degree,73.0,Male,True,Real,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,,,,True,False,8/3/2022 7:10,8/3/2022 7:13,IP Address,100.0,160.0,True,8/3/2022 7:13,R_28U8E4A56aHFOkg,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,Yes,Not Sure,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,4,3.0,4.0,0.0,Keep,False,False,7,True,,W,R,18.0,73.0,0.0,5329.0,,False,True,True,True,False,0.0,1.0,0.4583333333333333,4.7,2.5,4.0,1.0,4,2,3,2,2,1,3,0,0,2,2,1,0,1,2,4,5,1,True,False,True,False,False,True,True,False,False,False,True,40.0,25.0,75.0,0.0,33.33333333333333,50.0,40.0,40.0,40.0,60.0,
2706,2022-08-03 07:02:00,8/3/2022 7:06,IP Address,100,231,True,8/3/2022 7:06,R_3hiO7NXAtZ0OA2M,,,,,anonymous,EN,Yes,,,Safari iPhone,15.5,iPhone,390x844,Very little,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.,Agree,Disagree,Slightly Agree,Agree,Strongly Disagree,Slightly Agree,Strongly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Disagree,Slightly Disagree,Disagree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,A few times a week / Daily,B974621,arm1_control,,B974621,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/3/2022 7:06,8/3/2022 7:07,IP Address,100.0,42.0,True,8/3/2022 7:07,R_SJHikkDO1bNEket,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Bachelor degree,38.0,Female,True,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,,,,True,False,8/3/2022 7:11,8/3/2022 7:12,IP Address,100.0,73.0,True,8/3/2022 7:12,R_1mPK4JMU8ehpEiq,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,2,0.0,1.0,0.0,Keep,False,False,7,True,175.0,W,E,16.0,38.0,1.0,1444.0,5.1647859739235145,False,True,True,True,False,0.0,1.0,0.16666666666666666,2.9,4.875,6.0,2.0,7,0,2,3,4,3,4,0,0,3,4,1,2,2,2,3,6,1,True,True,True,True,True,True,True,False,False,False,True,70.0,75.0,100.0,0.0,50.0,100.0,80.0,60.0,0.0,40.0,60.0
2709,2022-08-03 07:27:00,8/3/2022 7:30,IP Address,100,181,True,8/3/2022 7:30,R_3nuRghNODpzBMLD,,,,,anonymous,EN,Yes,,,Safari iPhone,15.6,iPhone,375x812,Some,Basically content,Only some of the time,Government should do more to solve problems.,Slightly Agree,Disagree,Disagree,Slightly Disagree,Slightly Disagree,Agree,Strongly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,B800103,arm2_generalinfo,,B800103,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/3/2022 7:30,8/3/2022 7:31,IP Address,100.0,42.0,True,8/3/2022 7:31,R_3NODrB7pGrR1Yf3,,,,,anonymous,EN,Retired,"$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,71.0,Male,True,Real,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,,,,True,False,8/3/2022 7:34,8/3/2022 7:35,IP Address,100.0,82.0,True,8/3/2022 7:36,R_3EhVwifxKR3GlOo,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Some of the time,Hardly ever,"Yes, use the responses.",True,1,True,1,0.0,1.0,0.0,Keep,False,False,7,True,125.0,W,R,18.0,71.0,0.0,5041.0,4.8283137373023015,False,False,True,True,False,0.0,0.0,0.75,4.1,3.125,4.0,1.3333333333333333,4,2,3,2,2,1,3,0,0,2,2,1,0,1,2,4,5,1,True,False,True,False,False,True,True,False,False,False,True,40.0,25.0,75.0,0.0,33.33333333333333,50.0,40.0,40.0,40.0,60.0,40.0
2710,2022-08-03 07:33:00,8/3/2022 7:35,IP Address,100,163,True,8/3/2022 7:35,R_3F3PnLaeSDIZPra,,,,,anonymous,EN,Yes,,,Chrome,103.0.0.0,Windows NT 10.0,1280x1024,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Agree,Agree,Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,A few times a week / Daily,B423814,arm4_interactive,,B423814,0,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Real,,,True,True,8/3/2022 7:38,8/3/2022 7:39,IP Address,100.0,34.0,True,8/3/2022 7:39,R_8e2AEgagnmwQzLP,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Some college but no degree,38.0,Female,True,Scam,,,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,True,True,8/3/2022 7:41,8/3/2022 7:43,IP Address,100.0,123.0,True,8/3/2022 7:43,R_2cu3HV9r7HhK1HA,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",Yes,100,Yes,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,1,0.0,3.0,0.0,Keep,False,False,7,True,175.0,W,E,13.0,38.0,1.0,1444.0,5.1647859739235145,False,False,True,True,True,100.0,1.0,0.5416666666666666,1.9,4.875,6.0,1.0,4,3,3,2,2,1,2,1,0,3,1,0,1,2,0,5,5,0,False,False,True,True,True,False,False,False,False,True,False,40.0,25.0,50.0,50.0,50.0,25.0,40.0,40.0,60.0,60.0,
2712,2022-08-03 07:34:00,8/3/2022 7:40,IP Address,100,340,True,8/3/2022 7:40,R_dnV3lp31QVG4tG1,,,,,anonymous,EN,Yes,,,Safari,4,Android 12,360x800,Very little,Frustrated,Never,Government should do more to solve problems.,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,B176533,arm4_interactive,,B176533,0,0,Real,,,Real,,,Real,,,,,,,,,,,,,,,,,,True,False,8/3/2022 7:50,8/3/2022 7:51,IP Address,100.0,70.0,True,8/3/2022 7:51,R_3lWiPZ7yikdOPqd,,,,,anonymous,EN,"Disabled, not able to work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",62.0,Female,True,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,Real,,,Scam,,,True,True,8/3/2022 8:00,8/3/2022 8:05,IP Address,100.0,316.0,True,8/3/2022 8:05,R_1GU2wv7140hMRd0,,,,,anonymous,EN,Other,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,3,2.0,4.0,0.0,Keep,False,False,7,True,30.0,W,R,12.0,62.0,1.0,3844.0,3.4011973816621555,False,False,False,True,False,0.0,0.0,0.4583333333333333,4.0,2.25,3.0,1.0,7,1,2,3,4,1,4,2,0,5,2,1,0,2,2,4,6,0,True,False,True,True,False,True,True,False,True,True,False,70.0,25.0,100.0,100.0,83.33333333333334,50.0,80.0,60.0,20.0,40.0,
2711,2022-08-03 07:35:00,8/3/2022 7:38,IP Address,100,189,True,8/3/2022 7:38,R_3oSyu5SijwQb4jY,,,,,anonymous,EN,Yes,,,Chrome,103.0.0.0,Android 12,412x869,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a week / Daily,B487499,arm3_tips,,B487499,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/3/2022 7:38,8/3/2022 7:39,IP Address,100.0,46.0,True,8/3/2022 7:39,R_3IQZGnW2Y5PeiU1,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",37.0,Male,True,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,True,True,8/3/2022 7:41,8/3/2022 7:43,IP Address,100.0,87.0,True,8/3/2022 7:43,R_25HGjpO85Fym1v4,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,1,1.0,2.0,0.0,Keep,False,False,7,True,125.0,W,E,12.0,37.0,0.0,1369.0,4.8283137373023015,False,True,True,True,False,0.0,0.0,0.625,4.1,1.0,6.0,1.0,6,3,1,4,2,1,3,2,0,3,3,0,1,1,2,7,3,0,True,False,True,False,True,True,False,False,True,True,False,60.0,25.0,75.0,100.0,50.0,75.0,40.0,80.0,60.0,20.0,
2715,2022-08-03 07:57:00,8/3/2022 8:02,IP Address,100,311,True,8/3/2022 8:02,R_1ozn6nat3XZ38qT,,,,,anonymous,EN,Yes,,,Chrome,103.0.0.0,Windows NT 10.0,1536x864,Some,Basically content,Just about always,Government should do more to solve problems.,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,A few times a week / Daily,B633153,arm2_generalinfo,,B633153,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/3/2022 8:02,8/3/2022 8:03,IP Address,100.0,73.0,True,8/3/2022 8:03,R_3dEoUfQ241Ahfk3,,,,,anonymous,EN,"Disabled, not able to work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,53.0,Female,True,Real,,,Real,Click,,Real,,,Real,,,Real,,Details,Real,Click,,Real,,Details,Real,,,Real,,,,,,True,False,8/3/2022 8:11,8/3/2022 8:13,IP Address,100.0,94.0,True,8/3/2022 8:13,R_3ozFv3etohEOCix,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Other",No,,Yes,No,Often,Often,Often,"Yes, use the responses.",True,1,True,3,2.0,2.0,0.0,Keep,False,False,7,True,30.0,W,R,13.0,53.0,1.0,2809.0,3.4011973816621555,False,True,True,True,False,0.0,1.0,0.9166666666666666,5.9,5.0,6.0,3.0,5,4,0,5,0,2,2,1,0,3,2,1,1,1,1,9,0,1,True,False,True,False,True,False,False,True,True,False,True,50.0,50.0,50.0,50.0,50.0,50.0,0.0,100.0,80.0,0.0,100.0
2724,2022-08-03 07:57:00,8/3/2022 8:51,IP Address,100,3233,True,8/3/2022 8:51,R_1JJZGI6kvXaK8Il,,,,,anonymous,EN,Yes,,,Safari,15.5,Macintosh,810x1080,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,B352050,arm4_interactive,,B352050,3,1,Real,,,Real,,,Scam,,Details,Real,,,Real,,,Scam,,,Real,,Details,Scam,,Details,True,True,8/3/2022 8:59,8/3/2022 9:02,IP Address,100.0,168.0,True,8/3/2022 9:02,R_Zh5ff7iJ88o4f5L,,,,,anonymous,EN,Retired,"$20,000 - $39,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,66.0,Female,True,Scam,,,Real,Click,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Real,,,Scam,,,,,,True,False,8/3/2022 9:12,8/3/2022 9:14,IP Address,100.0,144.0,True,8/3/2022 9:14,R_2tJc2mMwWpR0Xt5,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,Yes,No,Some of the time,Often,Often,"Yes, use the responses.",True,1,True,4,4.0,4.0,0.0,Keep,False,False,7,True,30.0,W,R,18.0,66.0,1.0,4356.0,3.4011973816621555,False,False,True,True,False,0.0,1.0,0.625,4.2,1.625,4.0,2.6666666666666665,5,2,2,3,2,2,3,0,0,3,2,1,1,2,1,5,4,1,False,False,True,True,True,True,False,True,False,False,True,50.0,50.0,75.0,0.0,50.0,50.0,40.0,60.0,40.0,40.0,
2716,2022-08-03 07:58:00,8/3/2022 8:03,IP Address,100,318,True,8/3/2022 8:03,R_1lsqTxgU3OIxUQN,,,,,anonymous,EN,Yes,,,Safari iPhone,15.5,iPhone,390x844,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Slightly Disagree,A few times a week / Daily,B971452,arm1_control,,B971452,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/3/2022 8:03,8/3/2022 8:05,IP Address,100.0,96.0,True,8/3/2022 8:05,R_2yj4OXhawrgv7E9,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$60,000 - $79,999",Hispanic,Graduate or professional degree,39.0,Female,True,Real,,,Scam,,,Scam,,,Scam,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,,,,True,False,8/3/2022 8:08,8/3/2022 8:10,IP Address,100.0,119.0,True,8/3/2022 8:10,R_1OCT3eycQr5ys8R,,,,,anonymous,EN,Someone claiming to be from the Social Security Administration (but wasn't),Yes,1500,Yes,No,Some of the time,Some of the time,Hardly ever,"Yes, use the responses.",True,1,True,3,3.0,3.0,0.0,Keep,False,False,7,True,70.0,H,U,18.0,39.0,1.0,1521.0,4.248495242049359,True,True,False,True,True,1500.0,1.0,0.625,2.6,2.25,6.0,1.6666666666666667,5,1,3,2,3,3,2,0,0,2,3,1,2,1,1,3,6,1,True,True,False,True,True,False,True,False,False,False,True,50.0,75.0,50.0,0.0,33.33333333333333,75.0,60.0,40.0,20.0,60.0,40.0
