StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Previous Fraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,PID
7/29/2022 19:25,7/29/2022 19:26,IP Address,100,76,TRUE,7/29/2022 19:26,R_WfjGV6UGjfdIS9H,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Other",No,,No,No,Often,Often,Often,"Yes, use the responses.",5e82d6d1f44676000a274347
7/29/2022 19:26,7/29/2022 19:27,IP Address,100,80,TRUE,7/29/2022 19:27,R_1d0P2oI4i2GrX6C,,,,,anonymous,EN,Other,No,,No,No,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",5c28884289f035000174bfbe
7/29/2022 19:29,7/29/2022 19:29,IP Address,100,47,TRUE,7/29/2022 19:29,R_1mDcilriB15i6Wv,,,,,anonymous,EN,Someone claiming to be from the IRS (but wasn't),No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",610abc8316396c8f578f7b2b
7/29/2022 19:29,7/29/2022 19:31,IP Address,100,65,TRUE,7/29/2022 19:31,R_2fy9VncZqKAOffY,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Not Sure,Yes,Often,Some of the time,Often,"Yes, use the responses.",60ca31796780c7d97cbf46ae
7/29/2022 19:32,7/29/2022 19:33,IP Address,100,58,TRUE,7/29/2022 19:33,R_w4y0E0rK2pOmeqJ,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",60fcc98f62f37fd44a4184df
7/29/2022 19:33,7/29/2022 19:33,IP Address,100,37,TRUE,7/29/2022 19:33,R_2v1EqKYZsMkw5Xd,,,,,anonymous,EN,Someone claiming to be from the IRS (but wasn't),No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5fc620bd1fb5ab1eb2a9975a
7/29/2022 19:34,7/29/2022 19:36,IP Address,100,81,TRUE,7/29/2022 19:36,R_1K3IoQGkqfBsGUk,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,No,Often,Some of the time,Some of the time,"Yes, use the responses.",61085ecb96bc2a8c2bffa47f
7/29/2022 19:35,7/29/2022 19:36,IP Address,100,57,TRUE,7/29/2022 19:36,R_d0wgqD6PtsZdLgZ,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",60fdfebf34e9b78c0d472d1e
7/29/2022 19:36,7/29/2022 19:37,IP Address,100,59,TRUE,7/29/2022 19:37,R_xFRCtv7BmuJKm2d,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",Yes,100,No,No,Some of the time,Often,Often,"Yes, use the responses.",6108b2c114be378b2d77c8e3
7/29/2022 19:36,7/29/2022 19:37,IP Address,100,56,TRUE,7/29/2022 19:37,R_3njSNWGYCrG3nEZ,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",62e455e0c0c64273340382fd
7/29/2022 19:36,7/29/2022 19:38,IP Address,100,85,TRUE,7/29/2022 19:38,R_BS1Zxh3Z8WtVGvf,,,,,anonymous,EN,Someone claiming to be from the IRS (but wasn't),No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",62e405958a2c7c7e7f98e8fd
7/29/2022 19:37,7/29/2022 19:38,IP Address,100,59,TRUE,7/29/2022 19:38,R_3MJTksSXSB8qxVI,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Often,"Yes, use the responses.",5d58ff5f0569c500191eab3b
7/29/2022 19:38,7/29/2022 19:39,IP Address,100,48,TRUE,7/29/2022 19:39,R_2tbuZp359fUCgdG,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Often,Some of the time,"Yes, use the responses.",6100d9ea8460c062fb4d49a7
7/29/2022 19:38,7/29/2022 19:39,IP Address,100,57,TRUE,7/29/2022 19:39,R_1Q3Mt6x9TjUjcap,,,,,anonymous,EN,"Someone claiming to be from the company where you work (but wasn't),Someone selling fraudulent goods or services",Yes,$80 ,No,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",60fd88c5b5da4621ddaed661
7/29/2022 19:39,7/29/2022 19:39,IP Address,100,40,TRUE,7/29/2022 19:39,R_3RfKiEsWFDRR8dv,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,No,Some of the time,Often,Often,"Yes, use the responses.",60fd0fb011bf6207be143e00
7/29/2022 19:41,7/29/2022 19:43,IP Address,100,153,TRUE,7/29/2022 19:43,R_1Ij7aCfbVSl9iJC,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",6150d3a3671577009b778d16
